True Label,Predicted Label,Count
Common_redpoll,oriental_skylark,3
Common_redpoll,spotted_dove,2
Common_redpoll,wr_munia,2
Common_redpoll,zebra_finch,2
Eurasian_jay,oh_thrush,2
Eurasian_jay,rf_laughingthrush,2
Eurasian_siskin,ft_barbet,2
Eurasian_siskin,lb_white_eye,2
af_bluebird,vh_sunbird,3
bali_myna,javan_sparrow,2
bc_hanging_parrot,gg_leafbird,3
bluethroat,hwamei,2
bm_leafbird,gg_leafbird,2
bt_laughingthrush,hwamei,2
bt_laughingthrush,sum_laughingthrush,3
bt_laughingthrush,wr_shama,2
bw_leafbird,bm_leafbird,2
bw_leafbird,gg_leafbird,4
cg_magpie,javan_sparrow,2
common_myna,hill_myna,3
common_myna,hwamei,2
common_myna,rb_starling,2
crested_lark,oriental_skylark,5
crested_myna,common_myna,3
crested_myna,hill_myna,5
fischers_lovebird,javan_sparrow,2
gf_leafbird,gg_leafbird,8
gg_leafbird,bw_leafbird,2
great_myna,common_myna,6
great_myna,hill_myna,7
great_myna,rb_starling,2
javan_sparrow,rb_starling,3
jb_pitta,hill_myna,3
jp_starling,hill_myna,3
jp_starling,rb_starling,2
lb_white_eye,Eurasian_siskin,2
lb_white_eye,ft_barbet,2
lb_white_eye,swinhoes_white_eye,2
lg_leafbird,bw_leafbird,2
lg_leafbird,gg_leafbird,9
om_robin,jp_starling,3
rb_starling,bt_laughingthrush,2
rb_starling,zebra_finch,3
rw_bulbul,af_bluebird,2
se_mesia,lb_white_eye,2
sh_bulbul,cc_laughing,2
sh_bulbul,hwamei,2
sh_bulbul,rb_starling,2
sh_bulbul,zebra_dove,3
sh_bulbul,zebra_finch,3
spotted_dove,rb_starling,2
spotted_dove,sb_munia,2
spotted_dove,sum_laughingthrush,2
swinhoes_white_eye,gg_leafbird,2
swinhoes_white_eye,lb_white_eye,5
vf_nuthatch,common_myna,2
vf_nuthatch,zebra_finch,2
wc_laughingthrush,sum_laughingthrush,3
wc_laughingthrush,zebra_finch,2
wh_munia,wr_munia,6
wr_shama,af_bluebird,2
zebra_dove,spotted_dove,4
zebra_finch,sum_laughingthrush,2
