Species,Precision,Recall,F1 Score
Common_redpoll,0.9411764705882353,0.6956521739130435,0.7999999999999999
Eurasian_jay,0.8181818181818182,1.0,0.9
Eurasian_siskin,0.8214285714285714,0.7931034482758621,0.8070175438596492
af_bluebird,0.6470588235294118,0.7857142857142857,0.7096774193548386
bali_myna,0.85,0.8095238095238095,0.8292682926829269
bc_hanging_parrot,0.8333333333333334,0.7142857142857143,0.7692307692307692
bh_bulbul,0.8333333333333334,0.7692307692307693,0.8
bluethroat,1.0,0.7777777777777778,0.8750000000000001
bm_leafbird,0.7857142857142857,0.9166666666666666,0.8461538461538461
bt_laughingthrush,0.3055555555555556,0.5789473684210527,0.4000000000000001
bw_leafbird,0.68,0.7083333333333334,0.6938775510204083
cc_laughing,0.7333333333333333,0.6875,0.7096774193548386
cc_thrush,1.0,0.8461538461538461,0.9166666666666666
cg_magpie,0.7368421052631579,0.7,0.717948717948718
common_myna,0.6521739130434783,0.7142857142857143,0.6818181818181819
crested_lark,0.85,0.8095238095238095,0.8292682926829269
crested_myna,0.8235294117647058,0.7368421052631579,0.7777777777777778
fischers_lovebird,0.8571428571428571,0.9,0.8780487804878048
ft_barbet,0.7142857142857143,0.9090909090909091,0.8
gf_leafbird,0.8125,0.6842105263157895,0.742857142857143
gg_leafbird,0.696969696969697,0.7419354838709677,0.71875
great_myna,0.8333333333333334,0.47619047619047616,0.6060606060606061
hill_myna,0.7551020408163265,0.8043478260869565,0.7789473684210526
hooded_butcherbird,0.8,0.8571428571428571,0.8275862068965518
hoopoe,0.9230769230769231,0.9230769230769231,0.9230769230769231
hwamei,0.8666666666666667,0.8387096774193549,0.8524590163934426
jap_grosbeak,0.7727272727272727,0.8947368421052632,0.8292682926829269
javan_sparrow,0.8378378378378378,0.8157894736842105,0.8266666666666665
jb_pitta,0.9333333333333333,0.7368421052631579,0.8235294117647058
jp_starling,0.875,0.56,0.6829268292682927
lb_white_eye,0.5,0.6,0.5454545454545454
lg_leafbird,0.7058823529411765,0.6666666666666666,0.6857142857142857
oh_thrush,0.96,0.8275862068965517,0.888888888888889
om_robin,0.7,0.7777777777777778,0.7368421052631577
oriental_skylark,0.6,0.5,0.5454545454545454
rb_leiothrix,0.7692307692307693,0.7142857142857143,0.7407407407407408
rb_starling,0.6857142857142857,0.7058823529411765,0.6956521739130436
rf_laughingthrush,0.9166666666666666,0.7333333333333333,0.8148148148148148
rubythroat,0.9629629629629629,0.9629629629629629,0.9629629629629629
rw_bulbul,0.9,0.5625,0.6923076923076923
sb_munia,0.9,0.9,0.9
scarlet_minivet,0.8823529411764706,1.0,0.9375
se_mesia,0.7368421052631579,0.7368421052631579,0.7368421052631579
sh_bulbul,0.65625,0.8076923076923077,0.7241379310344829
spotted_dove,0.8297872340425532,0.7959183673469388,0.8125
sum_laughingthrush,0.6785714285714286,0.9047619047619048,0.7755102040816326
swinhoes_white_eye,0.7727272727272727,0.7083333333333334,0.7391304347826088
vf_nuthatch,0.56,0.875,0.6829268292682927
vh_sunbird,0.8695652173913043,0.8695652173913043,0.8695652173913043
wc_laughingthrush,0.7619047619047619,0.6956521739130435,0.7272727272727272
wh_munia,0.9,0.8571428571428571,0.8780487804878048
wr_munia,0.5161290322580645,0.7272727272727273,0.6037735849056604
wr_shama,0.7954545454545454,0.875,0.8333333333333334
yb_tit,1.0,0.8333333333333334,0.9090909090909091
zebra_dove,0.875,0.7777777777777778,0.823529411764706
zebra_finch,0.7666666666666667,0.8214285714285714,0.793103448275862
