Species,Precision,Recall,F1 Score
Common_redpoll,0.9523809523809523,0.8695652173913043,0.909090909090909
Eurasian_jay,0.8181818181818182,1.0,0.9
Eurasian_siskin,0.9629629629629629,0.896551724137931,0.9285714285714286
af_bluebird,0.8666666666666667,0.9285714285714286,0.896551724137931
bali_myna,1.0,0.9047619047619048,0.9500000000000001
bc_hanging_parrot,0.8125,0.9285714285714286,0.8666666666666666
bh_bulbul,0.9230769230769231,0.9230769230769231,0.9230769230769231
bluethroat,1.0,0.9259259259259259,0.9615384615384615
bm_leafbird,0.75,1.0,0.8571428571428571
bt_laughingthrush,1.0,0.8421052631578947,0.9142857142857143
bw_leafbird,0.92,0.9583333333333334,0.9387755102040817
cc_laughing,1.0,0.875,0.9333333333333333
cc_thrush,0.96,0.9230769230769231,0.9411764705882353
cg_magpie,1.0,1.0,1.0
common_myna,0.8260869565217391,0.9047619047619048,0.8636363636363636
crested_lark,1.0,0.9047619047619048,0.9500000000000001
crested_myna,0.9411764705882353,0.8421052631578947,0.8888888888888888
fischers_lovebird,0.9090909090909091,1.0,0.9523809523809523
ft_barbet,1.0,1.0,1.0
gf_leafbird,1.0,0.7894736842105263,0.8823529411764706
gg_leafbird,0.8666666666666667,0.8387096774193549,0.8524590163934426
great_myna,0.9473684210526315,0.8571428571428571,0.9
hill_myna,0.8333333333333334,0.9782608695652174,0.9
hooded_butcherbird,1.0,1.0,1.0
hoopoe,0.9285714285714286,1.0,0.962962962962963
hwamei,0.90625,0.9354838709677419,0.9206349206349206
jap_grosbeak,1.0,0.9473684210526315,0.972972972972973
javan_sparrow,0.9743589743589743,1.0,0.9870129870129869
jb_pitta,1.0,0.8947368421052632,0.9444444444444444
jp_starling,0.96,0.96,0.96
lb_white_eye,0.7777777777777778,0.9333333333333333,0.8484848484848485
lg_leafbird,0.8333333333333334,0.8333333333333334,0.8333333333333334
oh_thrush,1.0,0.9655172413793104,0.9824561403508771
om_robin,0.9,1.0,0.9473684210526316
oriental_skylark,0.8,1.0,0.888888888888889
rb_leiothrix,1.0,0.8571428571428571,0.923076923076923
rb_starling,0.90625,0.8529411764705882,0.8787878787878787
rf_laughingthrush,0.9375,1.0,0.967741935483871
rubythroat,1.0,1.0,1.0
rw_bulbul,0.9285714285714286,0.8125,0.8666666666666666
sb_munia,1.0,0.95,0.9743589743589743
scarlet_minivet,0.9375,1.0,0.967741935483871
se_mesia,0.9375,0.7894736842105263,0.8571428571428572
sh_bulbul,0.78125,0.9615384615384616,0.8620689655172413
spotted_dove,0.9038461538461539,0.9591836734693877,0.9306930693069307
sum_laughingthrush,0.8695652173913043,0.9523809523809523,0.909090909090909
swinhoes_white_eye,0.9047619047619048,0.7916666666666666,0.8444444444444444
vf_nuthatch,0.9411764705882353,1.0,0.9696969696969697
vh_sunbird,0.9583333333333334,1.0,0.9787234042553191
wc_laughingthrush,0.9565217391304348,0.9565217391304348,0.9565217391304348
wh_munia,0.95,0.9047619047619048,0.9268292682926829
wr_munia,0.782608695652174,0.8181818181818182,0.8
wr_shama,0.975,0.975,0.975
yb_tit,1.0,0.8888888888888888,0.9411764705882353
zebra_dove,0.9512195121951219,0.8666666666666667,0.9069767441860465
zebra_finch,0.8928571428571429,0.8928571428571429,0.8928571428571429
