Species,Precision,Recall,F1 Score
Common_redpoll,0.9523809523809523,0.8695652173913043,0.909090909090909
Eurasian_jay,0.8181818181818182,1.0,0.9
Eurasian_siskin,1.0,0.896551724137931,0.9454545454545454
af_bluebird,0.8666666666666667,0.9285714285714286,0.896551724137931
bali_myna,0.95,0.9047619047619048,0.9268292682926829
bc_hanging_parrot,0.8571428571428571,0.8571428571428571,0.8571428571428571
bh_bulbul,0.9166666666666666,0.8461538461538461,0.8799999999999999
bluethroat,0.96,0.8888888888888888,0.923076923076923
bm_leafbird,0.75,1.0,0.8571428571428571
bt_laughingthrush,0.7142857142857143,0.7894736842105263,0.7500000000000001
bw_leafbird,0.9166666666666666,0.9166666666666666,0.9166666666666666
cc_laughing,0.9285714285714286,0.8125,0.8666666666666666
cc_thrush,1.0,0.8846153846153846,0.9387755102040816
cg_magpie,0.9473684210526315,0.9,0.9230769230769231
common_myna,0.8571428571428571,0.8571428571428571,0.8571428571428571
crested_lark,1.0,0.9047619047619048,0.9500000000000001
crested_myna,1.0,0.8421052631578947,0.9142857142857143
fischers_lovebird,1.0,0.95,0.9743589743589743
ft_barbet,0.9090909090909091,0.9090909090909091,0.9090909090909091
gf_leafbird,0.9411764705882353,0.8421052631578947,0.8888888888888888
gg_leafbird,0.896551724137931,0.8387096774193549,0.8666666666666666
great_myna,0.8888888888888888,0.7619047619047619,0.8205128205128205
hill_myna,0.9,0.9782608695652174,0.9375
hooded_butcherbird,1.0,1.0,1.0
hoopoe,1.0,0.8461538461538461,0.9166666666666666
hwamei,0.9117647058823529,1.0,0.9538461538461539
jap_grosbeak,1.0,0.9473684210526315,0.972972972972973
javan_sparrow,0.9487179487179487,0.9736842105263158,0.9610389610389611
jb_pitta,1.0,0.9473684210526315,0.972972972972973
jp_starling,1.0,0.96,0.9795918367346939
lb_white_eye,0.7222222222222222,0.8666666666666667,0.7878787878787877
lg_leafbird,0.85,0.9444444444444444,0.8947368421052632
oh_thrush,0.9666666666666667,1.0,0.983050847457627
om_robin,1.0,1.0,1.0
oriental_skylark,0.7857142857142857,0.9166666666666666,0.8461538461538461
rb_leiothrix,1.0,1.0,1.0
rb_starling,0.8648648648648649,0.9411764705882353,0.9014084507042254
rf_laughingthrush,1.0,1.0,1.0
rubythroat,1.0,1.0,1.0
rw_bulbul,1.0,0.6875,0.8148148148148148
sb_munia,0.95,0.95,0.9500000000000001
scarlet_minivet,1.0,0.9333333333333333,0.9655172413793104
se_mesia,0.9444444444444444,0.8947368421052632,0.918918918918919
sh_bulbul,0.8214285714285714,0.8846153846153846,0.8518518518518519
spotted_dove,0.8888888888888888,0.9795918367346939,0.9320388349514563
sum_laughingthrush,0.9090909090909091,0.9523809523809523,0.9302325581395349
swinhoes_white_eye,0.8333333333333334,0.8333333333333334,0.8333333333333334
unknown,0.125,0.0625,0.08333333333333333
vf_nuthatch,0.0,0.0,0.0
vh_sunbird,0.0,0.0,0.0
wc_laughingthrush,0.0,0.0,0.0
wh_munia,0.0,0.0,0.0
wr_munia,0.0,0.0,0.0
wr_shama,0.0,0.0,0.0
yb_tit,0.0,0.0,0.0
zebra_dove,0.020833333333333332,0.03571428571428571,0.026315789473684213
zebra_finch,0.0,0.0,0.0
